true_label,true_class,pred_label,pred_class,correct,cleartext_pred,final_max_err,final_avg_err,total_inference_s,keygen_s,weight_prep_s,initconv_s,initrelu_s,L1.B0_conv1_s,L1.B0_relu1_s,L1.B0_conv2_s,L1.B0_relu2_s,L1.B1_conv1_s,L1.B1_relu1_s,L1.B1_conv2_s,L1.B1_relu2_s,L1.B2_conv1_s,L1.B2_relu1_s,L1.B2_conv2_s,L1.B2_relu2_s,L2.B0_conv1_s,L2.B0_relu1_s,L2.B0_conv2_s,L2.B0_relu2_s,L2.B1_conv1_s,L2.B1_relu1_s,L2.B1_conv2_s,L2.B1_relu2_s,L2.B2_conv1_s,L2.B2_relu1_s,L2.B2_conv2_s,L2.B2_relu2_s,L3.B0_conv1_s,L3.B0_relu1_s,L3.B0_conv2_s,L3.B0_relu2_s,L3.B1_conv1_s,L3.B1_relu1_s,L3.B1_conv2_s,L3.B1_relu2_s,L3.B2_conv1_s,L3.B2_relu1_s,L3.B2_conv2_s,L3.B2_relu2_s,L2.B0_sc_s,L3.B0_sc_s,num_bootstraps,total_bootstrap_s,avgpool_s,fc_s,logit_plane,logit_car,logit_bird,logit_cat,logit_deer,logit_dog,logit_frog,logit_horse,logit_ship,logit_truck
0,plane,0,plane,TRUE,0,7.580,2.655,883.0,2.9701,113.559,1.28684,8.3,2.078,6.1,1.145,3.8,1.014,3.5,1.029,3.4,1.039,3.5,1.083,3.7,93.93,3.8,2.11,3.6,2.067,3.7,2.134,3.7,2.102,3.4,2.279,3.5,40.9,3.5,2.719,3.5,3.212,3.4,2.957,3.6,3.024,3.4,3.052,3.4,90.71,42.41,17,483.57,0.002,0.003,9.9773,-1.2246,-2.8566,-3.8870,-8.7262,-10.3554,-0.5917,-9.1595,5.1896,4.3861
1,car,1,car,TRUE,1,5.877,3.113,871.0,2.7843,114.836,1.35635,8.2,2.059,6.1,1.17,3.7,0.997,3.3,1.003,3.4,1.055,3.5,1.05,3.5,92.92,3.6,2.233,3.6,2.09,3.4,2.127,3.5,2.073,3.4,2.2,3.5,43.2,3.7,3.072,3.7,2.809,3.6,2.948,3.4,2.706,3.4,2.668,3.4,90.72,41.25,17,472.79,0.002,0.003,-6.7064,48.2062,-28.7948,-15.0230,-36.4788,-14.0611,-10.1660,-13.8562,-15.2621,4.3276
2,bird,2,bird,TRUE,2,5.659,2.886,886.8,3.0632,116.786,1.38622,8.2,2.166,5.8,1.149,3.7,0.981,3.4,1.008,3.5,1.021,3.6,1.037,3.6,91.7,3.8,2.263,3.6,2.211,3.6,2.19,3.5,2.196,3.5,2.219,3.6,43.24,3.6,3.081,3.6,2.707,3.5,2.977,3.7,2.991,3.6,3.038,3.7,91.93,41.69,17,485.91,0.002,0.003,0.8989,-13.3372,10.7523,6.7267,2.1804,6.3730,8.6129,4.9680,-14.0373,-14.5331
3,cat,3,cat,TRUE,3,9.653,2.487,882.1,3.0356,114.499,1.39693,8.3,2.311,6.0,1.149,3.7,1.059,3.5,1.103,3.6,1.051,3.4,1.059,3.5,92.62,3.7,2.226,3.7,2.334,3.6,2.29,3.7,2.311,3.4,2.359,3.7,42.03,3.6,3.267,3.6,3.086,3.5,2.903,3.6,3.134,3.6,3.12,3.6,87.28,39.05,17,488.09,0.002,0.003,0.4468,-14.6036,-0.1443,31.4699,-8.3268,10.3492,14.5362,-11.0112,-12.8438,-10.1602
4,deer,4,deer,TRUE,4,4.908,1.586,859.5,2.8943,114.643,1.3163,8.2,2.04,6.0,1.125,3.7,1.069,3.4,1.032,3.5,1.02,3.4,1.021,3.5,91.76,3.6,2.266,3.6,2.201,3.5,2.235,3.5,2.207,3.4,2.242,3.4,41.78,3.6,2.726,3.6,2.986,3.4,2.963,3.6,2.826,3.5,3.045,3.6,88.4,40.95,17,466.48,0.002,0.003,4.5872,-7.6243,3.6977,-1.9006,5.8981,0.2158,3.6549,-6.2934,0.8460,-3.9420
5,dog,5,dog,TRUE,5,3.040,1.634,867.2,2.9435,114.166,1.36044,8.2,1.891,6.0,1.144,3.7,1.056,3.4,0.998,3.4,0.991,3.4,1.029,3.5,94.99,3.8,2.239,3.7,2.112,3.5,2.084,3.5,2.048,3.5,2.108,3.6,41.45,3.6,2.679,3.5,2.938,3.5,2.846,3.4,2.891,3.4,2.888,3.5,91.51,42.41,17,467.87,0.002,0.003,-7.4435,-12.5451,5.8333,15.3871,1.5976,39.6565,-9.0992,-5.7683,-17.5455,-8.9425
6,frog,6,frog,TRUE,6,8.276,2.520,885.6,2.9074,114.654,1.28104,8.3,2.308,6.2,1.099,3.7,1.058,3.5,1.054,3.4,1.044,3.5,1.05,3.6,92.42,3.8,2.224,3.6,2.054,3.7,2.187,3.6,1.985,3.5,2.22,3.6,42.06,3.7,2.993,3.5,2.988,3.4,2.793,3.6,3.122,3.4,3.009,3.6,90.79,41.87,17,486.81,0.002,0.003,-0.0541,-6.1135,9.2112,5.4414,-1.2488,6.1128,22.1949,-9.1960,-7.7951,-1.5749
7,horse,7,horse,TRUE,7,23.030,6.994,880.2,3.1542,115.199,1.45437,8.4,2.228,6.0,1.167,3.7,1.043,3.6,1.081,3.5,1.078,3.6,1.051,3.6,93.44,3.6,2.195,3.6,2.358,3.7,2.256,3.6,2.346,3.6,2.085,3.6,42.19,3.7,3.194,3.6,2.902,3.5,3.283,3.7,3.261,3.4,2.988,3.6,87.98,39.18,17,484.36,0.002,0.003,4.6543,-19.0006,-10.4532,0.4707,3.4675,17.2933,-8.0529,32.3751,-19.6299,-19.1110
8,ship,8,ship,TRUE,8,4.905,2.262,880.8,3.1583,114.608,1.36228,8.3,2.297,6.1,1.183,3.7,1.098,3.6,1.071,3.7,1.119,3.6,1.098,3.6,88.96,3.8,2.294,3.8,2.305,3.6,2.321,3.7,2.315,3.6,2.329,3.6,40.51,3.6,3.071,3.7,3.061,3.4,2.874,3.7,3.35,3.5,2.957,3.6,89.38,40.66,17,487.87,0.002,0.003,1.5177,13.5014,-13.0036,-14.2244,-24.8715,-18.5711,-11.0169,-15.4610,26.5704,-7.3503
9,truck,9,truck,TRUE,9,4.809,2.517,884.5,3.3142,113.865,1.34877,8.1,1.933,5.9,1.147,3.7,1.044,3.7,0.999,3.7,1.034,3.6,1.1,3.6,91.12,3.9,2.159,3.6,2.194,3.6,2.134,3.6,2.167,3.7,2.028,3.7,41.14,3.6,2.938,3.6,3.101,3.4,2.995,3.7,2.943,3.6,3.046,3.7,91.44,41.98,17,486.39,0.002,0.003,3.4264,17.4887,-9.3920,-14.1929,-26.3982,-12.2833,-12.8730,-13.3072,4.7085,38.0068
