true_label,true_class,pred_label,pred_class,correct,cleartext_pred,final_max_err,final_avg_err,total_inference_s,keygen_s,weight_prep_s,initconv_s,initrelu_s,L1.B0_conv1_s,L1.B0_relu1_s,L1.B0_conv2_s,L1.B0_relu2_s,L1.B1_conv1_s,L1.B1_relu1_s,L1.B1_conv2_s,L1.B1_relu2_s,L1.B2_conv1_s,L1.B2_relu1_s,L1.B2_conv2_s,L1.B2_relu2_s,L2.B0_conv1_s,L2.B0_relu1_s,L2.B0_conv2_s,L2.B0_relu2_s,L2.B1_conv1_s,L2.B1_relu1_s,L2.B1_conv2_s,L2.B1_relu2_s,L2.B2_conv1_s,L2.B2_relu1_s,L2.B2_conv2_s,L2.B2_relu2_s,L3.B0_conv1_s,L3.B0_relu1_s,L3.B0_conv2_s,L3.B0_relu2_s,L3.B1_conv1_s,L3.B1_relu1_s,L3.B1_conv2_s,L3.B1_relu2_s,L3.B2_conv1_s,L3.B2_relu1_s,L3.B2_conv2_s,L3.B2_relu2_s,L2.B0_sc_s,L3.B0_sc_s,num_bootstraps,total_bootstrap_s,avgpool_s,fc_s,logit_plane,logit_car,logit_bird,logit_cat,logit_deer,logit_dog,logit_frog,logit_horse,logit_ship,logit_truck
0,plane,0,plane,TRUE,0,5.412,2.359,2404.0,46.1085,99.1837,1.42027,129.9,1.726,118.0,1.606,111.8,1.454,112.5,1.28,106.8,1.095,120.0,0.9646,108.4,62.12,104.6,2.374,100.4,2.446,103.9,1.913,103.7,1.788,101.4,1.562,104.5,40.0,96.64,1.871,127.6,1.685,110.1,1.505,105.0,2.521,101.6,1.819,104.6,63.06,18.96,4,110.06,7.495,1.68,10.1622,1.0208,-4.2653,-1.4272,-16.075,-10.2971,-5.3843,-12.25,9.4264,9.51
1,car,1,car,TRUE,1,8.148,4.717,2471.0,46.398300000000006,98.3006,1.36936,123.4,1.7,121.9,1.435,112.0,1.388,139.3,1.326,115.6,1.031,121.8,0.9289,115.8,64.09,104.9,2.244,108.7,2.254,108.0,1.938,107.4,1.711,104.6,1.503,103.4,40.57,104.6,2.823,101.7,2.691,107.2,1.494,108.7,2.283,105.3,1.803,103.7,61.6,38.04,4,108.88,7.573,1.761,-14.6517,45.9346,-20.7222,-7.6225,-35.0768,-9.7717,-10.0231,-17.8586,-13.5776,5.6287
2,bird,2,bird,TRUE,2,5.537,2.205,2453.0,45.2285,98.60010000000001,1.36023,129.2,1.658,113.8,1.439,126.0,1.417,111.9,1.127,109.2,0.9616,112.6,0.9058999999999999,129.8,63.07,108.7,2.247,123.0,2.151,109.6,1.774,107.8,1.644,103.6,1.391,106.6,39.59,102.4,2.864,101.7,2.795,100.6,2.369,105.9,2.48,101.5,1.834,103.3,60.01,37.84,4,106.02,7.429,1.721,-0.1665,-14.3591,14.7466,5.5153,1.9234,1.74,9.7905,5.5345,-11.2342,-12.2375
3,cat,3,cat,TRUE,3,7.392,2.2,2441.0,45.995599999999996,104.126,1.39454,121.4,1.605,126.7,1.359,112.2,1.429,111.9,1.237,114.8,1.013,108.1,0.9651000000000001,125.5,64.23,103.6,2.248,105.8,2.22,105.3,1.794,103.5,1.614,105.7,1.479,111.0,39.05,104.7,3.149,100.5,2.567,103.8,2.169,104.4,3.695,108.3,1.711,104.7,63.87,40.04,4,111.66,6.492,1.697,-4.2692,-18.4764,1.9805,33.7307,-10.5208,9.2914,13.578,-10.8538,-9.1909,-9.1399
4,deer,4,deer,TRUE,4,5.76,2.501,2440.0,46.7102,98.5138,1.3858199999999998,124.6,1.692,114.4,1.577,116.6,1.392,118.2,1.205,114.6,1.018,115.0,0.9269,111.4,58.46,99.41,2.439,111.7,2.18,102.6,1.846,110.8,1.671,109.1,1.472,108.4,37.11,102.2,2.987,100.2,2.437,101.2,2.228,108.2,3.322,99.93,2.913,119.4,63.58,37.5,4,105.76,14.57,1.735,2.7087,-7.1758,-0.8798,-2.8181,5.0461,-1.6611,0.0135,-3.9183,2.0249,-0.6708
5,dog,5,dog,TRUE,5,10.04,3.886,2416.0,45.485699999999994,103.541,1.40101,128.3,1.555,122.7,1.628,118.1,1.415,113.5,1.216,109.9,1.038,108.7,0.943,111.3,63.82,106.7,2.323,105.9,2.254,107.0,2.055,101.4,1.613,107.5,1.447,119.0,39.92,100.1,1.921,104.9,1.76,101.2,1.398,106.2,2.275,106.9,1.967,101.0,64.41,19.91,4,110.89,7.194,1.697,-8.8767,-14.7713,3.8981,21.1813,0.8588,44.492,-18.0794,-9.8656,-15.1648,-12.9664
6,frog,6,frog,TRUE,6,9.715,4.344,2416.0,45.8194,105.023,1.41713,113.8,1.754,127.2,1.487,113.1,1.439,112.9,1.332,107.1,1.076,129.3,0.875,111.3,62.59,118.1,2.427,106.1,2.415,105.8,1.936,105.3,1.524,106.5,1.441,110.1,38.64,114.8,1.755,105.1,1.721,103.5,1.606,98.08,2.445,98.92,1.77,102.4,58.78,17.22,4,112.58,6.589,1.677,-4.1369,0.3338,8.2869,5.8173,-8.9119,3.6722,24.8933,-14.3774,-8.2101,-1.8765
7,horse,7,horse,TRUE,7,13.99,5.177,2460.0,46.715900000000005,99.38510000000001,1.37795,131.4,1.664,124.0,1.542,112.0,1.439,115.0,1.193,118.3,0.9522999999999999,112.3,0.8847999999999999,115.3,65.77,105.4,2.256,107.2,2.317,102.2,1.837,107.0,1.605,102.9,1.344,109.6,39.64,104.4,2.876,107.8,2.391,103.5,2.377,115.6,3.238,103.6,2.778,104.0,61.02,38.79,4,103.86,14.94,1.775,4.857,-25.9938,-7.4103,0.556,9.4694,20.1284,-10.1852,41.4169,-22.5042,-20.4578
8,ship,8,ship,TRUE,8,10.25,5.323,2385.0,45.6134,105.188,1.41866,126.7,1.64,104.6,1.524,112.1,1.473,108.3,1.181,105.5,1.064,108.1,1.001,107.5,62.98,104.8,2.344,101.3,2.364,107.7,1.964,114.8,1.68,102.5,1.412,106.0,41.63,102.0,2.725,104.3,2.594,104.7,1.763,99.12,2.357,98.97,1.796,106.6,63.18,40.11,4,111.93,7.023,1.662,-4.3547,4.8123,-11.0398,-1.3764,-22.4253,-10.0684,-6.0847,-15.176,19.4703,-4.6932
9,truck,9,truck,TRUE,9,8.889,3.114,2417.0,46.1053,103.827,1.40458,119.5,1.612,123.0,1.556,117.1,1.434,107.5,1.188,119.8,1.041,116.1,0.9168,118.2,64.31,106.2,2.462,108.6,2.49,107.7,1.954,104.4,1.752,108.4,1.532,107.3,39.63,103.9,1.79,103.2,1.815,102.3,1.467,101.3,2.441,107.1,1.781,100.7,63.43,18.7,4,111.64,6.885,1.733,-3.9029,20.1281,-8.2632,-10.461,-23.6104,-7.7428,-11.5954,-9.5201,7.6684,32.5252
